Number of scans,Number of scans before first consumer scan,Number of owners,Days since last scan,Days since manufactured,Days from manufactured to first scan,Days from manufactured to market release,Number of countries,Distance from selling point,Online selling,EU manufactured,Matching market and sale country,EU entry point,Days to expire,EU entry transport,Medicine category,Pack size,Pack type,Brand,Inspected?,Alert,Country Stamp,Suspicious level month stamp,Suspicious level year stamp,Suspicious level country stamp
20,17,7,73,93,13,10,3,1077,0,0,0,4,339,Road,Cytostatic,12 or less doses,Bottle,5,1,0,14,Jun,2019,0
11,9,1,117,158,8,5,3,507,0,0,0,28,60,Sea,Cytostatic,13 to 28 doses,Bottle,9,0,0,7,Mar,2020,0
16,13,1,39,86,7,7,0,2423,0,0,0,14,15,Mail/Courier,Hormones,more than 28 doses,Bag,6,0,0,5,Jun,2019,0
27,18,6,105,121,14,11,5,896,0,0,0,7,230,Mail/Courier,Genito-urinary,12 or less doses,Bottle,0,0,0,28,Dec,2021,0
4,2,5,119,152,29,23,13,288,0,0,0,16,198,Sea,Cytostatic,13 to 28 doses,Box,5,1,0,13,Mar,2018,0
24,16,4,34,46,6,5,3,505,0,0,0,23,284,Air,CNS,12 or less doses,Bottle,9,0,0,2,May,2018,0
19,16,3,112,151,33,20,10,2286,0,0,0,28,348,Mail/Courier,Hormones,13 to 28 doses,Bottle,9,0,0,16,Apr,2021,0
18,10,5,109,147,9,9,5,2979,0,0,0,9,97,Sea,Cytostatic,more than 28 doses,Bottle,4,1,0,17,Nov,2020,0
10,8,6,78,105,22,13,14,3960,0,0,0,11,318,Road,CNS,12 or less doses,Box,7,0,0,14,Dec,2019,0
2,1,9,42,52,1,1,3,3042,0,0,0,28,235,Sea,CNS,12 or less doses,Box,2,0,0,14,Apr,2019,0
26,17,6,0,0,0,0,12,245,0,0,0,19,324,Air,CNS,more than 28 doses,Bottle,9,0,0,27,Mar,2020,0
16,11,6,108,124,4,2,8,423,0,0,0,20,98,Sea,Hormones,more than 28 doses,Bag,0,0,0,19,Aug,2021,0
27,18,1,79,91,1,1,8,2326,0,0,0,15,119,Mail/Courier,Cytostatic,12 or less doses,Bag,3,1,0,24,Jul,2020,0
4,3,4,14,18,2,2,14,4735,0,0,0,4,22,Road,Cytostatic,more than 28 doses,Bottle,3,0,0,4,Jul,2021,0
24,16,6,24,37,5,4,9,4570,0,0,0,14,188,Air,Cytostatic,13 to 28 doses,Box,6,0,0,23,May,2019,0
9,6,7,49,63,8,6,11,2762,0,0,0,2,232,Road,Genito-urinary,more than 28 doses,Bottle,5,0,0,1,Sep,2019,0
23,19,6,25,32,6,6,4,3160,0,0,0,3,86,Sea,CNS,more than 28 doses,Box,1,0,0,4,Apr,2019,0
36,18,1,51,63,8,5,12,3098,0,0,0,13,326,Air,Genito-urinary,13 to 28 doses,Box,0,0,0,8,Jul,2020,0
18,12,5,10,13,0,0,4,398,0,0,0,4,225,Sea,Anti-infective,12 or less doses,Box,1,1,0,23,Mar,2021,0
17,14,1,93,126,31,29,7,4257,0,0,0,3,149,Mail/Courier,CNS,12 or less doses,Bottle,4,0,0,10,May,2019,0
8,7,7,14,17,0,0,4,2833,0,0,0,21,113,Mail/Courier,CNS,more than 28 doses,Bag,8,0,0,22,May,2018,0
16,8,2,55,121,28,22,0,4466,0,0,0,2,332,Road,Hormones,12 or less doses,Bag,0,0,0,7,Jan,2021,0
5,4,4,109,140,27,26,9,3439,0,0,0,7,131,Road,Anti-infective,13 to 28 doses,Bag,6,0,0,14,Jul,2018,0
32,16,2,58,67,6,6,5,2896,0,0,0,15,299,Sea,Hormones,12 or less doses,Bottle,7,0,0,3,May,2018,0
8,7,7,106,143,15,9,0,3548,0,0,0,2,140,Sea,Hormones,13 to 28 doses,Bag,8,0,0,10,Jan,2020,0
14,9,1,88,194,5,5,7,95,0,0,0,9,349,Road,Genito-urinary,12 or less doses,Box,6,1,0,4,Mar,2020,0
28,19,1,72,112,17,14,6,4609,0,0,0,20,54,Air,Cytostatic,more than 28 doses,Box,4,0,0,21,Aug,2019,0
5,4,2,32,37,2,2,8,4997,0,0,0,22,307,Mail/Courier,Hormones,more than 28 doses,Bag,7,0,0,1,Apr,2018,0
19,16,3,94,108,9,9,5,245,0,0,0,6,159,Sea,Hormones,12 or less doses,Box,3,0,0,4,Jan,2020,0
22,15,6,105,134,1,1,4,2254,0,0,0,24,335,Air,Cytostatic,more than 28 doses,Bag,3,0,0,17,Mar,2018,0
21,14,2,58,90,16,15,14,3784,0,0,0,12,133,Mail/Courier,Hormones,12 or less doses,Bag,8,0,0,14,Sep,2018,0
5,3,1,111,244,80,64,0,4829,0,0,0,21,226,Air,Cytostatic,12 or less doses,Bottle,7,0,0,18,Jul,2020,0
13,11,6,32,50,8,6,7,2659,0,0,0,16,150,Sea,Hormones,12 or less doses,Bag,1,0,0,10,Jun,2019,0
14,9,8,19,26,7,6,5,2043,0,0,0,24,333,Mail/Courier,Cytostatic,12 or less doses,Bottle,1,0,0,14,Dec,2019,0
5,3,3,50,62,9,9,2,1945,0,0,0,7,253,Sea,CNS,more than 28 doses,Bottle,3,1,0,4,Jun,2019,0
22,18,5,115,155,14,13,1,3170,0,0,0,24,102,Air,Anti-infective,12 or less doses,Bag,3,0,0,16,Apr,2020,0
7,6,1,106,122,0,0,13,1427,0,0,0,19,104,Mail/Courier,CNS,12 or less doses,Bag,1,0,0,16,Aug,2018,0
12,10,9,92,106,8,8,10,4422,0,0,0,16,77,Sea,Genito-urinary,more than 28 doses,Box,5,1,0,14,Oct,2020,0
20,13,4,108,124,4,4,12,1026,0,0,0,15,300,Sea,CNS,more than 28 doses,Bag,0,0,0,27,Feb,2018,0
4,3,2,31,42,7,7,1,2189,0,0,0,14,60,Mail/Courier,Cytostatic,12 or less doses,Bag,0,0,0,17,Apr,2020,0
11,9,5,51,59,1,1,14,4120,0,0,0,8,248,Air,Anti-infective,13 to 28 doses,Bottle,6,0,0,17,Jan,2019,0
18,12,8,89,120,21,13,8,4087,0,0,0,7,209,Sea,CNS,12 or less doses,Box,0,0,0,12,Apr,2018,0
20,13,7,59,68,3,2,6,4037,0,0,0,16,131,Road,Cytostatic,12 or less doses,Bag,9,0,0,22,Dec,2019,0
31,17,9,23,29,4,3,1,2299,0,0,0,2,232,Road,Cytostatic,13 to 28 doses,Box,9,0,0,15,Aug,2019,0
34,19,9,97,119,9,9,2,4508,0,0,0,5,194,Sea,Cytostatic,13 to 28 doses,Bottle,2,0,0,20,May,2019,0
10,8,6,27,31,4,4,4,3062,0,0,0,2,19,Mail/Courier,CNS,more than 28 doses,Bottle,9,0,0,3,May,2020,0
1,1,6,58,78,8,6,5,527,0,0,0,3,111,Mail/Courier,Cytostatic,more than 28 doses,Bottle,4,1,0,22,Sep,2021,0
20,17,8,4,5,1,1,4,1341,0,0,0,12,245,Sea,Anti-infective,more than 28 doses,Bag,5,0,0,28,May,2020,0
5,4,6,29,37,4,4,11,4100,0,0,0,9,124,Air,Anti-infective,12 or less doses,Bag,4,1,0,2,Aug,2020,0
2,2,2,37,46,9,7,6,3181,0,0,0,7,281,Sea,Cytostatic,13 to 28 doses,Bag,8,0,0,4,May,2020,0
27,15,4,47,54,5,4,9,1795,0,0,0,9,113,Road,CNS,13 to 28 doses,Bag,2,0,0,12,Oct,2020,0
10,8,4,75,96,4,2,6,783,0,0,0,20,124,Sea,Hormones,12 or less doses,Box,1,0,0,25,May,2019,0
13,7,9,47,73,18,17,7,4809,0,0,0,23,270,Sea,Anti-infective,more than 28 doses,Bag,2,1,0,16,Sep,2019,0
18,15,9,6,7,0,0,13,2569,0,0,0,10,222,Sea,Hormones,12 or less doses,Box,9,1,0,7,Jul,2020,0
38,19,2,83,129,19,15,5,4035,0,0,0,8,116,Road,Genito-urinary,more than 28 doses,Box,9,1,0,21,Nov,2021,0
12,8,7,115,141,9,7,9,4737,0,0,0,22,307,Air,Hormones,13 to 28 doses,Box,5,0,0,15,Feb,2019,0
2,1,1,107,166,32,30,3,2350,0,0,0,14,238,Sea,Genito-urinary,13 to 28 doses,Bottle,5,0,0,24,Dec,2021,0
38,19,9,97,112,3,2,12,1048,0,0,0,22,53,Sea,Genito-urinary,12 or less doses,Bag,9,0,0,5,Nov,2018,0
7,6,1,78,100,12,11,10,4886,0,0,0,14,224,Road,Anti-infective,12 or less doses,Box,9,0,0,5,Dec,2021,0
17,14,7,20,27,7,4,1,44,0,0,0,26,176,Sea,Hormones,12 or less doses,Bag,6,0,0,9,Nov,2020,0
11,9,3,8,10,0,0,11,169,0,0,0,12,307,Road,Cytostatic,13 to 28 doses,Box,0,1,0,11,Apr,2021,0
24,16,8,80,176,6,6,12,590,0,0,0,6,72,Mail/Courier,Cytostatic,12 or less doses,Box,0,1,0,21,Apr,2019,0
17,14,2,54,119,49,47,12,2941,0,0,0,9,127,Road,Anti-infective,12 or less doses,Box,7,0,0,21,Jun,2020,0
2,2,4,96,211,25,24,0,230,0,0,0,13,167,Mail/Courier,Genito-urinary,12 or less doses,Bag,4,1,0,28,Apr,2018,0
7,4,9,11,15,1,1,8,278,0,0,0,7,59,Mail/Courier,Hormones,more than 28 doses,Box,3,0,0,7,Nov,2020,0
9,6,9,109,147,1,1,4,2682,0,0,0,14,330,Road,CNS,12 or less doses,Bottle,0,1,0,7,Sep,2018,0
13,7,6,64,141,31,29,7,3548,0,0,0,25,142,Air,Anti-infective,12 or less doses,Bottle,5,0,0,20,Jan,2020,0
34,19,6,12,16,1,1,4,4497,0,0,0,18,64,Sea,CNS,13 to 28 doses,Box,0,0,0,5,Dec,2020,0
22,18,1,105,121,3,3,13,209,0,0,0,17,85,Air,CNS,13 to 28 doses,Box,1,1,0,26,Jun,2020,0
20,13,6,108,167,59,56,8,678,0,0,0,11,55,Sea,Genito-urinary,more than 28 doses,Box,7,0,0,12,Aug,2018,0
1,1,5,52,60,4,3,13,2772,0,0,0,9,283,Road,Genito-urinary,12 or less doses,Bottle,4,1,0,18,Apr,2018,0
2,2,1,101,136,28,27,1,2347,0,0,0,13,322,Air,CNS,more than 28 doses,Box,6,0,0,17,Jul,2020,0
22,18,9,24,28,1,1,6,4263,0,0,0,18,236,Air,Hormones,13 to 28 doses,Bag,1,0,0,25,Aug,2019,0
20,13,9,69,79,8,8,2,837,0,0,0,3,213,Road,Genito-urinary,more than 28 doses,Bottle,5,0,0,4,Nov,2021,0
20,11,7,47,58,11,10,12,1092,0,0,0,27,304,Sea,CNS,more than 28 doses,Box,1,1,0,7,Apr,2019,0
8,5,7,81,93,5,5,0,4227,0,0,0,21,148,Mail/Courier,Genito-urinary,12 or less doses,Bag,2,0,0,3,Jan,2021,0
38,19,3,41,55,10,8,0,3184,0,0,0,19,136,Mail/Courier,Genito-urinary,more than 28 doses,Bottle,3,0,0,26,Mar,2018,0
1,1,9,104,128,3,3,13,2986,0,0,0,3,165,Air,Hormones,more than 28 doses,Box,2,0,0,27,May,2019,0
5,3,6,101,116,3,3,13,2333,0,0,0,28,22,Mail/Courier,Hormones,12 or less doses,Bag,4,0,0,15,Mar,2019,0
17,14,1,77,104,1,1,14,900,0,0,0,13,129,Mail/Courier,Cytostatic,more than 28 doses,Bottle,8,0,0,23,Apr,2021,0
13,11,4,15,20,5,3,12,596,0,0,0,1,79,Mail/Courier,Hormones,12 or less doses,Bottle,5,0,0,20,Nov,2019,0
24,16,6,37,46,7,4,6,3348,0,0,0,26,222,Mail/Courier,CNS,more than 28 doses,Box,4,1,0,19,Sep,2018,0
6,3,1,100,220,115,69,9,3243,0,0,0,17,300,Mail/Courier,Hormones,12 or less doses,Bottle,3,1,0,26,Dec,2020,0
10,5,2,27,42,2,2,4,3736,0,0,0,15,15,Mail/Courier,Cytostatic,13 to 28 doses,Bag,7,0,0,10,Nov,2019,0
2,2,9,2,3,1,1,4,296,0,0,0,8,245,Air,Genito-urinary,more than 28 doses,Box,1,0,0,4,Mar,2020,0
16,11,2,46,71,24,23,6,2162,0,0,0,18,6,Road,Hormones,12 or less doses,Bottle,7,0,0,12,Dec,2021,0
24,16,8,100,115,11,10,8,4559,0,0,0,27,121,Sea,Cytostatic,13 to 28 doses,Box,7,1,0,13,Jun,2020,0
18,10,2,51,63,12,10,14,2688,0,0,0,7,113,Mail/Courier,Hormones,more than 28 doses,Box,1,0,0,24,Sep,2018,0
12,10,3,46,71,3,3,1,3356,0,0,0,17,107,Road,CNS,more than 28 doses,Bag,0,0,0,2,Dec,2018,0
5,3,2,12,15,1,1,0,4569,0,0,0,4,48,Mail/Courier,Cytostatic,more than 28 doses,Box,6,0,0,11,Nov,2018,0
18,15,2,10,16,1,1,6,265,0,0,0,12,240,Mail/Courier,Hormones,more than 28 doses,Box,7,0,0,13,Apr,2018,0
4,3,9,56,72,10,8,14,1119,0,0,0,26,294,Road,Anti-infective,13 to 28 doses,Bag,8,0,0,27,Sep,2018,0
38,19,8,45,61,14,11,7,1967,0,0,0,11,225,Road,CNS,more than 28 doses,Bottle,5,0,0,14,Aug,2021,0
26,17,5,99,114,14,13,8,1350,0,0,0,10,38,Road,Hormones,12 or less doses,Bag,7,0,0,1,Dec,2020,0
12,8,6,62,71,3,2,4,3785,0,0,0,18,308,Road,CNS,more than 28 doses,Bag,0,0,0,4,Oct,2019,0
21,14,8,43,53,9,7,6,4537,0,0,0,8,112,Road,CNS,12 or less doses,Bottle,2,0,0,23,Jan,2021,0
4,3,6,30,66,23,14,0,3789,0,0,0,20,125,Sea,Hormones,more than 28 doses,Bottle,1,0,0,16,Nov,2019,0
2,1,3,114,140,23,22,14,2312,0,0,0,4,86,Road,Cytostatic,more than 28 doses,Bag,4,0,0,28,Jan,2018,0
1,1,4,118,151,29,28,13,1554,0,0,0,9,140,Air,Anti-infective,13 to 28 doses,Box,7,0,0,27,Nov,2018,0
6,5,3,72,97,10,10,5,1326,0,0,0,5,212,Road,Cytostatic,13 to 28 doses,Box,2,0,0,5,Jun,2020,0
18,9,3,91,116,12,7,12,2133,0,0,0,13,350,Sea,Anti-infective,13 to 28 doses,Box,9,0,0,19,Sep,2019,0
12,10,9,77,119,40,38,12,3805,0,0,0,25,363,Mail/Courier,Anti-infective,more than 28 doses,Bag,7,0,0,6,Apr,2019,0
2,2,1,76,97,9,9,0,746,0,0,0,7,353,Mail/Courier,Genito-urinary,more than 28 doses,Bottle,8,0,0,7,Oct,2019,0
6,5,5,49,63,10,10,9,764,0,0,0,15,286,Air,CNS,12 or less doses,Bag,1,0,0,26,Nov,2019,0
27,18,2,62,71,2,2,6,1508,0,0,0,8,261,Air,Genito-urinary,more than 28 doses,Box,5,0,0,14,Dec,2021,0
18,10,8,8,12,1,1,8,3452,0,0,0,16,348,Mail/Courier,CNS,12 or less doses,Bag,2,1,0,23,Jun,2019,0
15,10,4,83,129,41,39,11,3170,0,0,0,23,326,Sea,Anti-infective,13 to 28 doses,Bag,6,1,0,2,Apr,2019,0
7,6,2,100,135,2,1,3,2098,0,0,0,18,11,Air,CNS,more than 28 doses,Bottle,7,0,0,16,May,2020,0
15,10,9,61,82,16,13,7,430,0,0,0,4,83,Road,Cytostatic,more than 28 doses,Box,3,0,0,13,Dec,2019,0
31,17,8,38,47,5,4,5,2238,0,0,0,15,118,Air,Anti-infective,12 or less doses,Box,9,0,0,7,Aug,2018,0
10,8,7,21,46,24,23,0,4887,0,0,0,26,49,Air,CNS,12 or less doses,Bottle,5,0,0,23,May,2020,0
4,2,2,73,93,15,9,8,136,0,0,0,9,238,Sea,Hormones,12 or less doses,Bottle,4,0,0,16,Apr,2020,0
18,10,2,62,79,5,4,10,777,0,0,0,11,328,Sea,Anti-infective,12 or less doses,Bag,5,0,0,18,Jul,2018,0
14,12,7,61,134,11,10,7,3614,0,0,0,9,346,Road,Anti-infective,12 or less doses,Box,2,0,0,7,May,2019,0
7,6,9,6,7,1,1,11,1664,0,0,0,12,126,Mail/Courier,Anti-infective,12 or less doses,Bag,2,0,0,10,Sep,2021,0
9,6,9,67,104,37,35,4,957,0,0,0,8,250,Road,Anti-infective,13 to 28 doses,Box,2,0,0,1,Jan,2020,0
31,17,4,29,45,13,10,7,3261,0,0,0,6,44,Mail/Courier,Hormones,more than 28 doses,Bag,3,0,0,10,Jul,2021,0
27,15,6,117,144,26,21,7,2483,0,0,0,3,180,Road,Cytostatic,12 or less doses,Bag,8,0,0,15,May,2020,0
18,12,9,23,36,13,8,6,1960,0,0,0,4,103,Mail/Courier,Genito-urinary,13 to 28 doses,Bag,5,0,0,10,Oct,2018,0
5,4,3,28,38,8,8,0,204,0,0,0,15,39,Air,Hormones,12 or less doses,Bag,7,0,0,10,Nov,2019,0
13,11,5,76,87,8,8,14,4180,0,0,0,17,131,Sea,CNS,13 to 28 doses,Bottle,6,0,0,28,Aug,2019,0
14,12,6,18,21,0,0,6,2516,0,0,0,2,206,Air,CNS,13 to 28 doses,Bag,2,0,0,21,Sep,2020,0
27,15,6,75,165,70,56,4,347,0,0,0,25,119,Road,CNS,12 or less doses,Bag,9,0,0,3,Dec,2021,0
17,14,3,88,136,46,28,12,2097,0,0,0,15,314,Sea,Hormones,13 to 28 doses,Bottle,8,1,0,18,Jun,2019,0
13,7,7,72,92,15,12,0,3096,0,0,0,25,274,Sea,Genito-urinary,13 to 28 doses,Box,9,0,0,21,Aug,2021,0
10,8,2,54,62,8,6,14,1405,0,0,0,20,282,Air,Anti-infective,12 or less doses,Box,1,0,0,4,Sep,2021,0
7,6,7,40,54,14,11,5,598,0,0,0,22,26,Air,Cytostatic,12 or less doses,Bag,2,0,0,24,Apr,2018,0
2,2,1,76,93,17,16,5,1369,0,0,0,12,172,Road,Hormones,12 or less doses,Bottle,9,0,0,22,Apr,2021,0
27,18,5,36,49,3,3,0,3750,0,0,0,24,77,Air,Cytostatic,more than 28 doses,Bag,1,0,0,17,Jul,2018,0
12,10,6,118,159,22,18,5,834,0,0,0,28,198,Road,Hormones,13 to 28 doses,Box,9,0,0,15,Feb,2018,0
18,15,2,38,44,3,3,14,2671,0,0,0,5,65,Mail/Courier,Hormones,13 to 28 doses,Box,7,0,0,27,Dec,2018,0
18,10,1,37,46,6,6,7,1210,0,0,0,11,276,Mail/Courier,Genito-urinary,13 to 28 doses,Box,5,0,0,22,Apr,2019,0
8,7,6,57,70,1,1,2,2774,0,0,0,28,261,Sea,Hormones,more than 28 doses,Box,7,0,0,15,Dec,2018,0
15,10,7,19,26,5,5,12,2677,0,0,0,27,48,Sea,Genito-urinary,12 or less doses,Bottle,9,0,0,3,Sep,2020,0
14,8,9,16,22,6,6,4,2907,0,0,0,9,363,Sea,Cytostatic,13 to 28 doses,Bottle,9,0,0,23,Mar,2020,0
1,1,5,72,89,13,12,12,4306,0,0,0,25,86,Mail/Courier,Anti-infective,13 to 28 doses,Bag,5,1,0,19,Dec,2019,0
11,6,4,81,93,8,8,11,2768,0,0,0,12,283,Mail/Courier,Cytostatic,12 or less doses,Box,8,0,0,22,Oct,2018,0
22,18,7,70,80,1,1,4,1536,0,0,0,24,69,Mail/Courier,Genito-urinary,13 to 28 doses,Bottle,4,0,0,8,Nov,2020,0
22,15,5,20,26,1,1,6,4266,0,0,0,28,209,Sea,CNS,12 or less doses,Box,7,0,0,23,Mar,2018,0
12,6,5,37,43,2,2,8,3607,0,0,0,11,191,Air,Hormones,more than 28 doses,Box,3,0,0,2,Aug,2019,0
34,19,5,116,148,17,10,3,357,0,0,0,28,68,Sea,CNS,12 or less doses,Box,9,0,0,20,May,2019,0
20,11,4,27,31,0,0,0,4698,0,0,0,20,32,Mail/Courier,Hormones,12 or less doses,Bottle,6,0,0,1,May,2021,0
5,3,4,46,62,4,3,12,4046,0,0,0,4,280,Sea,Cytostatic,more than 28 doses,Bottle,1,0,0,5,Apr,2018,0
22,18,4,0,0,0,0,5,3731,0,0,0,11,0,Air,CNS,13 to 28 doses,Bag,8,1,0,19,Oct,2018,0
17,14,6,5,6,1,1,14,3839,0,0,0,3,91,Sea,Anti-infective,more than 28 doses,Bottle,8,1,0,9,Feb,2020,0
18,12,6,38,84,13,12,6,4828,0,0,0,1,134,Mail/Courier,Cytostatic,13 to 28 doses,Bottle,7,0,0,20,Jul,2021,0
4,3,4,79,91,2,2,1,827,0,0,0,25,205,Mail/Courier,Hormones,more than 28 doses,Bag,3,0,0,5,Oct,2020,0
10,7,5,104,120,12,10,11,1542,0,0,0,13,92,Air,Genito-urinary,more than 28 doses,Bottle,0,0,0,14,Sep,2019,0
14,9,1,8,11,3,2,10,3547,0,0,0,21,210,Mail/Courier,Anti-infective,more than 28 doses,Box,0,0,0,10,May,2021,0
16,13,5,39,48,5,5,2,3007,0,0,0,15,35,Sea,Cytostatic,13 to 28 doses,Bottle,3,0,0,28,Jul,2019,0
16,13,2,89,109,5,4,9,3600,0,0,0,3,65,Sea,CNS,13 to 28 doses,Bag,8,0,0,15,Oct,2020,0
20,11,5,70,80,2,2,7,1817,0,0,0,8,274,Road,Anti-infective,12 or less doses,Bag,6,0,0,2,Aug,2020,0
34,19,1,12,26,11,7,13,1001,0,0,0,23,356,Road,Anti-infective,12 or less doses,Box,5,0,0,4,Jul,2019,0
16,13,8,79,174,51,48,11,3281,0,0,0,10,188,Mail/Courier,Anti-infective,12 or less doses,Box,5,0,0,1,Aug,2019,0
24,16,5,98,113,11,9,14,1239,0,0,0,10,324,Mail/Courier,Cytostatic,13 to 28 doses,Bag,8,0,0,28,Nov,2018,0
6,3,8,64,79,2,2,5,4620,0,0,0,20,115,Sea,Genito-urinary,12 or less doses,Box,3,0,0,25,Mar,2021,0
19,16,2,56,69,13,10,10,4670,0,0,0,9,331,Mail/Courier,Anti-infective,13 to 28 doses,Box,5,0,0,15,Jan,2020,0
20,11,2,64,82,9,9,2,2556,0,0,0,22,216,Road,Hormones,12 or less doses,Bottle,8,0,0,22,Jun,2019,0
18,12,3,46,62,14,13,6,2232,0,0,0,7,124,Sea,Anti-infective,12 or less doses,Bag,8,1,0,19,Jul,2021,0
5,4,3,13,16,3,3,8,4823,0,0,0,4,277,Air,Hormones,more than 28 doses,Box,6,0,0,23,Jun,2018,0
22,12,8,65,101,8,6,14,320,0,0,0,3,118,Air,Cytostatic,12 or less doses,Bag,6,0,0,5,Jun,2018,0
12,8,8,68,92,17,14,8,4600,0,0,0,27,363,Air,Anti-infective,more than 28 doses,Bag,1,1,0,8,Nov,2018,0
29,16,6,1,1,0,0,13,555,0,0,0,25,269,Mail/Courier,Cytostatic,more than 28 doses,Bottle,8,0,0,1,Jul,2021,0
9,5,9,66,102,22,21,11,1780,0,0,0,14,84,Road,Hormones,more than 28 doses,Bag,5,0,0,24,Sep,2021,0
9,5,2,99,122,4,3,9,3530,0,0,0,1,107,Air,Genito-urinary,12 or less doses,Bag,9,0,0,19,Nov,2018,0
20,13,4,106,130,0,0,0,1061,0,0,0,23,114,Road,Hormones,13 to 28 doses,Box,8,0,0,4,Feb,2018,0
2,1,5,114,154,19,15,9,250,0,0,0,28,95,Mail/Courier,Hormones,12 or less doses,Bottle,1,0,0,5,Oct,2021,0
12,8,3,40,46,4,3,1,654,0,0,0,9,183,Mail/Courier,Cytostatic,13 to 28 doses,Bag,9,0,0,23,Jul,2019,0
32,16,5,10,13,2,2,5,1487,0,0,0,25,160,Mail/Courier,Anti-infective,more than 28 doses,Bottle,5,0,0,1,May,2020,0
34,17,7,35,43,0,0,8,1003,0,0,0,24,126,Sea,Genito-urinary,more than 28 doses,Box,6,0,0,4,Nov,2020,0
18,12,7,1,1,0,0,5,2240,0,0,0,26,178,Mail/Courier,Hormones,12 or less doses,Bottle,6,1,0,18,Jul,2019,0
18,12,3,66,89,4,4,8,3161,0,0,0,23,320,Sea,Hormones,more than 28 doses,Bag,3,0,0,5,Oct,2018,0
22,15,2,114,131,6,5,13,220,0,0,0,22,257,Sea,Genito-urinary,more than 28 doses,Bottle,4,0,0,26,Jan,2021,0
16,8,6,113,145,6,6,12,1634,0,0,0,2,207,Mail/Courier,CNS,more than 28 doses,Bag,9,0,0,2,Mar,2019,0
8,7,7,20,27,3,3,13,2194,0,0,0,18,166,Air,Hormones,13 to 28 doses,Box,9,0,0,6,Mar,2020,0
7,4,2,63,72,2,2,5,1959,0,0,0,5,221,Mail/Courier,CNS,more than 28 doses,Bag,5,0,0,24,Jun,2021,0
32,18,3,68,84,11,10,10,381,0,0,0,18,111,Road,CNS,12 or less doses,Bag,2,1,0,4,Nov,2020,0
5,4,7,54,69,10,6,9,1043,0,0,0,20,5,Mail/Courier,Anti-infective,more than 28 doses,Box,3,0,0,24,Nov,2021,0
8,7,7,55,85,12,10,7,724,0,0,0,5,328,Sea,Genito-urinary,more than 28 doses,Bag,0,0,0,14,Apr,2019,0
23,13,6,1,1,0,0,3,3017,0,0,0,22,79,Sea,Genito-urinary,12 or less doses,Bag,0,0,0,6,Aug,2019,0
18,15,8,85,109,19,18,4,2380,0,0,0,24,290,Mail/Courier,Genito-urinary,13 to 28 doses,Bottle,1,0,0,4,Nov,2019,0
23,13,7,45,61,4,2,0,4286,0,0,0,5,316,Air,Cytostatic,12 or less doses,Bag,3,0,0,20,Nov,2020,0
21,14,1,31,48,3,2,3,61,0,0,0,11,9,Air,Anti-infective,more than 28 doses,Box,4,1,0,12,Jun,2018,0
26,17,3,65,80,1,1,10,112,0,0,0,24,341,Sea,Cytostatic,13 to 28 doses,Bottle,8,1,0,2,Aug,2021,0
18,12,4,32,39,5,4,8,1019,0,0,0,3,165,Air,Genito-urinary,more than 28 doses,Bag,6,0,0,5,Apr,2019,0
7,6,4,28,43,2,2,1,2226,0,0,0,23,41,Road,CNS,12 or less doses,Box,8,1,0,17,Oct,2019,0
22,15,2,96,130,2,2,12,1286,0,0,0,8,102,Mail/Courier,Cytostatic,12 or less doses,Box,6,0,0,23,Nov,2020,0
16,9,6,6,13,2,2,6,4356,0,0,0,14,245,Mail/Courier,Genito-urinary,13 to 28 doses,Bag,1,0,0,24,May,2021,0
16,8,1,107,123,7,7,8,4056,0,0,0,4,149,Air,CNS,13 to 28 doses,Bottle,9,0,0,4,Sep,2019,0
25,14,1,117,181,22,18,3,3769,0,0,0,28,208,Air,Genito-urinary,12 or less doses,Bottle,0,0,0,1,Mar,2019,0
14,9,9,69,85,5,5,9,3734,0,0,0,8,104,Sea,Anti-infective,12 or less doses,Bottle,6,0,0,11,Aug,2021,0
20,11,4,96,130,27,22,8,4209,0,0,0,28,32,Air,Cytostatic,more than 28 doses,Box,0,0,0,21,Mar,2019,0
8,7,4,10,13,0,0,0,1652,0,0,0,17,196,Road,Cytostatic,more than 28 doses,Bag,2,1,0,23,Feb,2018,0
3,2,7,16,22,1,1,9,3932,0,0,0,5,141,Sea,Hormones,12 or less doses,Box,5,0,0,22,Sep,2019,0
18,15,1,14,18,1,1,2,4390,0,0,0,21,324,Mail/Courier,Genito-urinary,12 or less doses,Box,9,0,0,3,Jul,2019,0
15,10,6,17,26,6,4,6,2129,0,0,0,16,201,Air,Cytostatic,more than 28 doses,Bag,6,0,0,10,Nov,2019,0
8,7,9,113,130,12,10,11,1573,0,0,0,5,70,Mail/Courier,CNS,more than 28 doses,Bottle,7,0,0,8,Jul,2018,0
9,6,5,4,5,1,1,6,1137,0,0,0,12,115,Mail/Courier,Cytostatic,12 or less doses,Box,2,0,0,11,Oct,2019,0
6,5,4,34,44,2,2,8,1786,0,0,0,15,355,Road,CNS,more than 28 doses,Box,2,0,0,4,Apr,2018,0
10,7,6,15,23,8,8,1,1051,0,0,0,7,243,Sea,Anti-infective,more than 28 doses,Bag,3,0,0,16,May,2021,0
4,3,7,39,45,4,3,9,4601,0,0,0,24,127,Air,Genito-urinary,12 or less doses,Bag,0,1,0,21,May,2019,0
22,18,8,47,60,7,7,6,329,0,0,0,25,138,Road,Hormones,12 or less doses,Bottle,9,0,0,15,Dec,2019,0
